session_id,user_id,event_date,event_month,event_quarter,product_id,category,brand,price,discount_%,device_type,traffic_source,gender,age_group,city,pages_viewed,time_spent_min,funnel_stage,is_cart,is_checkout,is_purchase,cart_abandoned,revenue
SESS000001,USR05239,24-04-2024,Apr-24,Q2 2024,PROD5012,electronics.headphone,Sony,22375.74,30,Desktop,Paid Ad,Male,55+,Delhi,3,33.3,View,0,0,0,0,0
SESS000002,USR03457,15-09-2024,Sep-24,Q3 2024,PROD4811,electronics.laptop,Dell,36711.9,5,Mobile,Direct,Female,25-34,Mumbai,10,1.7,Checkout,1,1,0,1,0
SESS000003,USR05746,04-01-2024,Jan-24,Q1 2024,PROD5557,grocery.food,Amul,259.42,20,Tablet,Paid Ad,Female,25-34,Lucknow,13,36.4,View,0,0,0,0,0
SESS000004,USR01274,19-02-2024,Feb-24,Q1 2024,PROD7224,apparel.footwear,Puma,1266.58,10,Mobile,Paid Ad,Male,25-34,Bangalore,6,38.2,Purchase,1,1,1,0,1139.92
SESS000005,USR05978,10-02-2024,Feb-24,Q1 2024,PROD7201,sports.clothing,Under Armour,849.37,15,Mobile,Organic Search,Male,25-34,Delhi,9,13.5,Checkout,1,1,0,1,0
SESS000006,USR05772,10-02-2024,Feb-24,Q1 2024,PROD5741,electronics.tablet,Apple,56288.43,0,Mobile,Email Campaign,Female,35-44,Lucknow,14,10.9,Cart,1,0,0,1,0
SESS000007,USR03715,17-04-2024,Apr-24,Q2 2024,PROD6820,toys.games,Xbox,2858.48,0,Mobile,Social Media,Other,18-24,Bangalore,11,12.4,Checkout,1,1,0,1,0
SESS000008,USR01402,18-05-2024,May-24,Q2 2024,PROD7216,grocery.food,ITC,205.23,30,Desktop,Organic Search,Male,25-34,Kolkata,15,29,View,0,0,0,0,0
SESS000009,USR02657,24-07-2024,Jul-24,Q3 2024,PROD6168,electronics.laptop,HP,127725.32,15,Mobile,Email Campaign,Female,25-34,Pune,5,3.4,View,0,0,0,0,0
SESS000010,USR04090,06-05-2024,May-24,Q2 2024,PROD3287,home.decor,Westside,1400.11,10,Mobile,Organic Search,Male,25-34,Hyderabad,12,25.5,Purchase,1,1,1,0,1260.1
